,nanPerc,nullPerc,mean,stdev,min,25%,50%,75%,95%,97.5%,max
8329.0,0.0,0.0,970.8,266.7,89,904,1031,1136,1277,1316,1582
2422.0,0.0,0.0,1002.4,641.5,18,441,1016,1485,2122,2324,3272
814.01,0.0,1.4,1099.3,559.8,0,709,1196,1534,1872,1952,2541
813.0,0.0,3.3,1103.0,540.9,0,808,1148,1467,1911,2054,2674
3301.0,0.0,0.0,1109.1,711.8,16,687,981,1416,2527,2968,5497
816.0,0.0,7.0,1127.8,652.9,0,699,1101,1552,2215,2499,3979
711.0,0.0,0.0,1185.6,636.6,14,688,1222,1626,2317,2411,3066
2801.0,0.0,3.7,1326.9,744.7,0,709,1517,1927,2307,2425,2917
812.01,0.0,2.8,1419.8,720.7,0,1016,1451,1898,2542,2774,3809
818.0,0.0,6.6,1485.3,790.2,0,1015,1511,2015,2756,3003,4765
814.03,0.0,3.3,1714.1,826.9,0,1268,1799,2305,2928,3073,3841
622.0,0.0,0.0,1914.5,976.5,37,1162,1976,2622,3497,3678,4524
2819.0,0.0,0.4,2204.8,1188.0,0,1216,2475,3145,3825,4037,5027
817.0,0.0,3.8,2432.4,1369.8,0,1565,2391,3312,4772,5190,9110
815.0,0.0,2.3,2736.2,1338.2,0,1997,2851,3676,4743,5065,6614
3204.0,0.0,0.0,2739.3,1155.7,39,2084,2963,3636,4199,4339,5181
810.0,0.0,0.0,2971.4,913.0,99,2717,3183,3558,4000,4108,4693
3201.0,0.0,0.9,3807.4,1849.1,0,2711,4138,5212,6270,6577,8213
9800.0,0.0,0.0,4071.1,1928.1,25,2803,4336,5556,6801,7159,8422
8391.0,0.0,1.1,6688.6,4249.4,0,2579,7444,10363,12611,13234,16083
all,0.0,74.5,73.4,464.4,0,0,0,1,210,741,16083
